locus_tag	ftype	length_bp	gene	EC_number	COG	product
ANC_00721	CDS	1641	ubiB			2-octaprenylphenol hydroxylase
ANC_00722	CDS	270	tatA			TatABCE protein export complex
ANC_00723	CDS	516	tatB			TatABCE protein export complex
ANC_00724	CDS	777	tatC			TatABCE protein export complex
ANC_00725	CDS	783	tatD			Tat-linked protein quality control
ANC_00726	CDS	489	rfaH			RfaH transcriptional antiterminator
ANC_00727	CDS	1494	ubiD			3-octaprenyl-4-hydroxybenzoate carboxy-lyase monomer
ANC_00728	CDS	702	fre	1.16.1.3		riboflavin reductase [NAD(P)H] / FMN reductase
ANC_00729	CDS	1164	fadA	2.3.1.16		3-ketoacyl-CoA thiolase
ANC_00730	CDS	2190	fadB	5.3.3.8		dodecenoyl-CoA delta-isomerase, enoyl-CoA hydratase, 3-hydroxybutyryl-CoA epimerase, 3-hydroxyacyl-CoA dehydrogenase
ANC_00731	CDS	1179	pepQ			proline dipeptidase
ANC_00732	CDS	615	yigZ			putative elongation factor
ANC_00733	CDS	1452	trkH			K+ transporter TrkH
ANC_00734	CDS	546	hemG			protoporphyrinogen oxidase
ANC_00735	CDS	543	yfaZ			outer membrane protein
ANC_00736	CDS	1203				hypothetical protein
ANC_00737	CDS	783	yfaX			putative DNA-binding transcriptional regulator
ANC_00738	CDS	1206	yfaW	4.2.1.90		L-rhamnonate dehydratase
ANC_00739	CDS	1290	yfaV_1			putative transporter
ANC_00740	CDS	804	yfaU_1	4.1.2		2-keto-3-deoxy-L-rhamnonate aldolase
ANC_00741	CDS	903				hypothetical protein
ANC_00742	CDS	1191	glpC			glycerol-3-phosphate dehydrogenase (anaerobic), small subunit
ANC_00743	CDS	1260	glpB	1.1.5.3		glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit
ANC_00744	CDS	1629	glpA	1.1.5.3		glycerol-3-phosphate dehydrogenase (anaerobic), large subunit
ANC_00745	CDS	1359	glpT_1			glycerol-3-phosphate:phosphate antiporter
ANC_00746	CDS	1077	glpQ	3.1.4.46		glycerophosphoryl diester phosphodiesterase, periplasmic
ANC_00747	CDS	207				hypothetical protein
ANC_00748	CDS	651	inaA			pH-inducible protein involved in stress response
ANC_00749	CDS	255	yfaE			2Fe-2S cluster-containing protein involved in diferric-tyrosyl radical cofactor maintenance
ANC_00750	CDS	1131	nrdB	1.17.4.1		ribonucleoside diphosphate reductase 1, beta subunit, ferritin-like
ANC_00751	CDS	2286	nrdA	1.17.4.1		ribonucleoside diphosphate reductase 1, alpha subunit
ANC_00752	CDS	3705	yfaL			adhesin
ANC_00753	CDS	723	ubiG	2.1.1.64		bifunctional 3-demethylubiquinone-8 3-O-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase
ANC_00754	CDS	2628	gyrA	5.99.1.3		DNA gyrase, subunit A
ANC_00755	CDS	1689	yfaA			putative protein
ANC_00756	CDS	624	yfaT			putative protein
ANC_00757	CDS	4395				hypothetical protein
ANC_00758	CDS	1650	yfaQ			putative protein
ANC_00759	CDS	777				hypothetical protein
ANC_00760	CDS	1185	atoB	2.3.1.9		acetyl-CoA acetyltransferase
ANC_00761	CDS	1323	atoE			putative short chain fatty acid transporter
ANC_00762	CDS	651	atoA	2.8.3.8		acetyl-CoA:acetoacetyl-CoA transferase, beta subunit
ANC_00763	CDS	663	atoD	2.8.3.8		acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit
ANC_00764	CDS	1386	atoC		COG2204	Regulatory protein AtoC
ANC_00765	CDS	1827	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
ANC_00766	CDS	2850	rcsC	2.7.13.3		Sensor histidine kinase RcsC
ANC_00767	CDS	186	insD			Qin prophage; predicted transposase
ANC_00768	CDS	156				hypothetical protein
ANC_00769	CDS	375				hypothetical protein
ANC_00770	CDS	312	insN-1			CP4-6 prophage; partial regulator of insertion element IS911A
ANC_00771	CDS	1164				hypothetical protein
ANC_00772	CDS	486				Single-stranded DNA-binding protein
ANC_00773	CDS	2382				hypothetical protein
ANC_00774	CDS	1302	exuT_1			hexuronate transporter
ANC_00775	CDS	1071	cytR_2			CytR-cytidine
ANC_00776	CDS	1044				hypothetical protein
ANC_00777	CDS	1185	intS			CPS-53 (KpLE1) prophage; prophage CPS-53 integrase
ANC_00778	tRNA	95				tRNA-SeC(tca)
ANC_00779	CDS	1383	yicJ_1			YicJ GPH transporter
ANC_00780	CDS	2319	yicI			alpha-xylosidase
ANC_00781	CDS	1710				hypothetical protein
ANC_00782	CDS	1392	xanP			xanthine:H+ symporter XanP
ANC_00783	CDS	1206	gltS			glutamate:sodium symporter
ANC_00784	CDS	867				hypothetical protein
ANC_00785	CDS	2082	recG			RecG DNA helicase
ANC_00786	CDS	690	trmH	2.1.1.34		tRNA (Gm18) 2'-O-methyltransferase
ANC_00787	CDS	2109	spoT	3.1.7.2		guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase [multifunctional]
ANC_00788	CDS	276	rpoZ	2.7.7.6		RNA polymerase, o subunit
ANC_00789	CDS	624	gmk	2.7.4.8		guanylate kinase
ANC_00790	CDS	1683	ligB	6.5.1.2		DNA ligase
ANC_00791	CDS	618				hypothetical protein
ANC_00792	CDS	825	dinD			DNA-damage-inducible protein
ANC_00793	CDS	864				hypothetical protein
ANC_00794	CDS	717	rph	2.7.7.56		RNase PH monomer
ANC_00795	CDS	642	pyrE	2.4.2.10		orotate phosphoribosyltransferase
ANC_00796	CDS	597	slmA			cell division inhibitor, nucleoid occlusion
ANC_00797	CDS	459	dut	3.6.1.23		deoxyuridine triphosphatase
ANC_00798	CDS	1221	dfp	6.3.2.5		fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase
ANC_00799	CDS	669	yicR			hypothetical protein
ANC_00800	CDS	237	rpmB			50S ribosomal subunit protein L28
ANC_00801	CDS	168	rpmG			50S ribosomal subunit protein L33
ANC_00802	CDS	810	mutM	3.2.2.23		formamidopyrimidine DNA glycosylase
ANC_00803	CDS	480	coaD	2.7.7.3		pantetheine-phosphate adenylyltransferase monomer
ANC_00804	CDS	1278	waaA			KDO transferase
ANC_00805	CDS	1059	waaQ			lipopolysaccharide core heptosyl transferase III
ANC_00806	CDS	1125	waaG			lipopolysaccharide glucosyltransferase I
ANC_00807	CDS	798	waaP			lipopolysaccharide core heptose (I) kinase
ANC_00808	CDS	1017	waaI	2.4.1.44		UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase
ANC_00809	CDS	573	ybaY			putative outer membrane lipoprotein
ANC_00810	CDS	312	atl			DNA base-flipping protein
ANC_00811	CDS	354				hypothetical protein
ANC_00812	CDS	1551				hypothetical protein
ANC_00813	CDS	471	ylaC			putative inner membrane protein
ANC_00814	CDS	552	maa	2.3.1.79		maltose acetyltransferase
ANC_00815	CDS	219	hha			haemolysin expression modulating protein
ANC_00816	CDS	375	tomB			protein that modulates Hha toxicity
ANC_00817	CDS	3150	acrB			AcrB RND-type permease
ANC_00818	CDS	1194	acrA			AcrA membrane fusion protein
ANC_00819	CDS	648	acrR			AcrR DNA-binding transcriptional repressor
ANC_00820	CDS	3363	mscK			potassium dependent mechanosensitive channel MscK
ANC_00821	CDS	162	ybaM			small protein involved in the cell envelope stress response
ANC_00822	CDS	528	priC			primosomal replication protein N''
ANC_00823	CDS	378				hypothetical protein
ANC_00824	CDS	552	apt	2.4.2.7		adenine phosphoribosyltransferase
ANC_00825	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
ANC_00826	CDS	330				hypothetical protein
ANC_00827	CDS	606	recR			recombination and repair
ANC_00828	CDS	1875	htpG			HtpG monomer
ANC_00829	CDS	645	adk	2.7.4.3		adenylate kinase
ANC_00830	CDS	963	hemH	4.99.1.1		ferrochelatase
ANC_00831	CDS	960	aes			acetyl esterase
ANC_00832	CDS	1305	gsk	2.7.1.73		inosine-guanosine kinase
ANC_00833	CDS	1677	ybaL			YbaL CPA2 transporter
ANC_00834	CDS	1221	fsr			fosmidomycin efflux transporter
ANC_00835	CDS	1653	ushA	3.6.1.45		5'-nucleotidase / UDP-sugar hydrolase
ANC_00836	CDS	480	ybaK			Cys-tRNAPro and Cys-tRNACys deacylase
ANC_00837	CDS	795				hypothetical protein
ANC_00838	CDS	396	ybaQ			putative DNA-binding transcriptional regulator
ANC_00839	CDS	2505	copA			Cu+ efflux ATPase
ANC_00840	CDS	933	ybaS	3.5.1.2		glutaminase
ANC_00841	CDS	1293	ybaT			YbaT APC transporter
ANC_00842	CDS	408	cueR			CueR transcriptional dual regulator
ANC_00843	CDS	459				hypothetical protein
ANC_00844	CDS	918	qmcA			putative protease, membrane anchored
ANC_00845	CDS	678	ybbL			putative transporter subunit: ATP-binding component of ABC superfamily protein
ANC_00846	CDS	780	ybbM			putative metal resistance protein
ANC_00847	CDS	855	ybbN			chaperone and weak protein oxidoreductase
ANC_00848	CDS	771	ybbO			putative oxidoreductase with NAD(P)-binding Rossmann-fold domain protein
ANC_00849	CDS	594	tesA	3.1.1.5		multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1
ANC_00850	CDS	687	ybbA			YbbA/YbbP ABC transporter
ANC_00851	CDS	1590	hsdM	2.1.1.72		host modification; DNA methylase M
ANC_00852	CDS	3513	hsdR	3.1.21.3		host restriction; endonuclease R
ANC_00853	CDS	915	mrr			restriction of methylated adenine
ANC_00854	CDS	957	yjiA			P-loop guanosine triphosphatase
ANC_00855	CDS	204				hypothetical protein
ANC_00856	CDS	2151	yjiY			putative inner membrane protein
ANC_00857	CDS	513	rutF_1			flavin reductase
ANC_00858	CDS	1563	hpaB	1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
ANC_00859	CDS	786				hypothetical protein
ANC_00860	CDS	1377	yfaV_2			putative transporter
ANC_00861	CDS	789	yfaU_2	4.1.2		2-keto-3-deoxy-L-rhamnonate aldolase
ANC_00862	CDS	804	mhpD_1	4.2.1.80		2-hydroxypentadienoate hydratase
ANC_00863	CDS	381	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
ANC_00864	CDS	852	hpcB	1.13.11.15	COG3384	3,4-dihydroxyphenylacetate 2,3-dioxygenase
ANC_00865	CDS	1467	puuC_2	1.2.1.5		gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase
ANC_00866	CDS	1290	hpcE		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
ANC_00867	CDS	447	farR			HTH-type transcriptional regulator FarR
ANC_00868	CDS	1584	tsr			methyl accepting chemotaxis protein - serine sensing
ANC_00869	CDS	1362	yjjL			galactonate:H+ symporter
ANC_00870	CDS	624	yjjM_1			putative DNA-binding transcriptional regulator
ANC_00871	CDS	294	yjjM_2			putative DNA-binding transcriptional regulator
ANC_00872	CDS	1023	yjjN			putative L-galactonate oxidoreductase
ANC_00873	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
ANC_00874	CDS	495				hypothetical protein
ANC_00875	CDS	738	dnaC			chromosome replication; initiation and chain elongation
ANC_00876	CDS	540	dnaT			primosome
ANC_00877	CDS	474				hypothetical protein
ANC_00878	CDS	834	yjjP			putative inner membrane structural protein
ANC_00879	CDS	726	yjjQ			putative DNA-binding transcriptional regulator
ANC_00880	CDS	678	bglJ			BglJ DNA-binding transcriptional regulator
ANC_00881	CDS	789	fhuF			acts in reduction of ferrioxamine B iron
ANC_00882	CDS	237	yjjZ			putative protein
ANC_00883	tRNA	87				tRNA-Leu(cag)
ANC_00884	CDS	1032	rsmC	2.1.1.172		16S rRNA methyltransferase
ANC_00885	CDS	414	holD	2.7.7.7		DNA polymerase III, ps subunit
ANC_00886	CDS	447	rimI	2.3.1.128		ribosomal-protein-S18-alanine N-acetyltransferase
ANC_00887	CDS	678	yjjG	3.1.3.5		pyrimidine nucleotidase
ANC_00888	CDS	1617	prfC			peptide chain release factor RF3
ANC_00889	CDS	606	osmY			hyperosmotically inducible periplasmic protein
ANC_00890	CDS	162	ytjA			putative protein
ANC_00891	CDS	1074	yjjU			putative esterase
ANC_00892	CDS	780	yjjV			putative DNase
ANC_00893	CDS	552	kefG			protein required for KefB activity
ANC_00894	CDS	1806	kefB			K+ : H+ antiporter KefB
ANC_00895	CDS	201	yheV			putative protein
ANC_00896	CDS	591	slyD	5.2.1.8		FKBP-type peptidyl prolyl cis-trans isomerase
ANC_00897	CDS	219	slyX			host factor for lysis of phX174 infection
ANC_00898	CDS	813	fkpA	5.2.1.8		peptidyl-prolyl cis-trans isomerase; in protein folding
ANC_00899	CDS	723	yheO			putative DNA-binding transcriptional regulator
ANC_00900	CDS	387	tusD			sulfur transfer protein complex, TusD subunit
ANC_00901	CDS	360	tusC			sulfur transfer protein complex, TusC subunit
ANC_00902	CDS	288	tusB			sulfur transfer protein complex, TusB subunit
ANC_00903	CDS	375	rpsL			30S ribosomal subunit protein S12
ANC_00904	CDS	471	rpsG			30S ribosomal subunit protein S7
ANC_00905	CDS	2115	fusA			elongation factor G
ANC_00906	CDS	1185	tufB			elongation factor Tu
ANC_00907	CDS	384	secE			Sec Translocation Complex
ANC_00908	CDS	546	nusG			transcription termination factor NusG
ANC_00909	CDS	429	rplK			50S ribosomal subunit protein L11
ANC_00910	CDS	705	rplA			50S ribosomal subunit protein L1
ANC_00911	CDS	498	rplJ			50S ribosomal subunit protein L10
ANC_00912	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
ANC_00913	CDS	4029	rpoB	2.7.7.6		RNA polymerase, beta subunit
ANC_00914	CDS	4224	rpoC	2.7.7.6		RNA polymerase, beta' subunit
ANC_00915	CDS	540				hypothetical protein
ANC_00916	CDS	1134	thiH			tyrosine lyase
ANC_00917	CDS	771	thiG			thiazole synthase
ANC_00918	CDS	201	thiS		COG2104	Sulfur carrier protein ThiS
ANC_00919	CDS	756	thiF			sulfur carrier protein ThiS adenylyltransferase
ANC_00920	CDS	636	thiE	2.5.1.3		thiamine phosphate synthase
ANC_00921	CDS	1896	thiC			thiamin biosynthesis protein ThiC
ANC_00922	CDS	477	rsd			stationary phase protein, binds sigma 70 RNA polymerase subunit
ANC_00923	CDS	774	nudC	3.6.1.22		NADH pyrophosphatase
ANC_00924	CDS	1065	hemE	4.1.1.37		uroporphyrinogen decarboxylase
ANC_00925	CDS	672	nfi	3.1.21.7		endonuclease V (deoxyinosine 3'-endonuclease)
ANC_00926	CDS	591				hypothetical protein
ANC_00927	CDS	273	hupA			transcriptional dual regulator HU-alpha (HU-2)
ANC_00928	CDS	636				hypothetical protein
ANC_00929	CDS	420	zraP			zinc homeostasis protein
ANC_00930	CDS	1377	zraS	2.7.13.3		Sensor protein ZraS
ANC_00931	CDS	1326	zraR		COG2204	Transcriptional regulatory protein ZraR
ANC_00932	CDS	1290	purD	6.3.4.13		phosphoribosylamine-glycine ligase
ANC_00933	CDS	1590	purH	3.5.4.10		AICAR transformylase / IMP cyclohydrolase
ANC_00934	CDS	231	chaB			putative cation transport regulator
ANC_00935	CDS	717	chaC			putative cation transport protein
ANC_00936	CDS	354				hypothetical protein
ANC_00937	CDS	1224	ychO_1			putative invasin
ANC_00938	CDS	162	ychO_2			putative invasin
ANC_00939	CDS	651	fimZ_2			FimZ transcriptional regulator
ANC_00940	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
ANC_00941	CDS	219				hypothetical protein
ANC_00942	CDS	1392	narK			nitrate:nitrite antiporter NarK
ANC_00943	CDS	3744	narG	1.7.99.4		nitrate reductase A, alpha subunit
ANC_00944	CDS	1539	narH	1.7.99.4		nitrate reductase A, beta subunit
ANC_00945	CDS	711	narJ			molybdenum cofactor assembly chaperone subunit (delta subunit) of nitrate reductase 1
ANC_00946	CDS	678	narI	1.7.99.4		nitrate reductase A, gamma subunit
ANC_00947	tRNA	85				tRNA-Tyr(gta)
ANC_00948	tRNA	85				tRNA-Tyr(gta)
ANC_00949	CDS	843	purU	3.5.1.10		formyltetrahydrofolate deformylase
ANC_00950	CDS	459				hypothetical protein
ANC_00951	CDS	945				hypothetical protein
ANC_00952	CDS	1014	rssB		COG0784	Regulator of RpoS
ANC_00953	CDS	909	galU	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
ANC_00954	CDS	414	hns			H-NS DNA-binding transcriptional dual regulator
ANC_00955	CDS	618	tdk	2.7.1.21		thymidine kinase / deoxyuridine kinase
ANC_00956	CDS	2676	adhE	1.2.1.10		pyruvate formate-lyase deactivase [multifunctional]
ANC_00957	CDS	648	ychE			putative inner membrane protein
ANC_00958	CDS	156				hypothetical protein
ANC_00959	CDS	162				hypothetical protein
ANC_00960	CDS	1677	oppA			peptide ABC transporter - periplasmic binding protein
ANC_00961	CDS	921	oppB			murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit
ANC_00962	CDS	909	oppC			murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit
ANC_00963	CDS	1014	oppD			murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit
ANC_00964	CDS	1005	oppF			murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit
ANC_00965	CDS	330	yciU			putative protein
ANC_00966	CDS	1461	clsA			cardiolipin synthase
ANC_00967	CDS	1254	kch			K+ channel Kch monomer
ANC_00968	CDS	297	yciI			putative enzyme
ANC_00969	CDS	735	tonB			TonB energy transducing system - TonB subunit
ANC_00970	CDS	399	yciA			acyl-CoA thioesterase
ANC_00971	CDS	540	yciB			putative inner membrane protein
ANC_00972	CDS	744	yciC			putative inner membrane protein
ANC_00973	CDS	639	ompW			OmpW, outer membrane protein
ANC_00974	CDS	507				hypothetical protein
ANC_00975	CDS	501	yciF			putative structural protein
ANC_00976	CDS	180	yciG			putative protein
ANC_00977	CDS	771	fixA			putative flavoprotein subunit required for anaerobic carnitine metabolism
ANC_00978	CDS	942	fixB			putative flavoprotein subunit required for anaerobic carnitine metabolism
ANC_00979	CDS	1287	fixC			flavoprotein (electron transport), possibly involved in anaerobic carnitine metabolism
ANC_00980	CDS	288	fixX			putative ferredoxin possibly involved in anaerobic carnitine metabolism
ANC_00981	CDS	1332	yaaU			YaaU
ANC_00982	CDS	531	kefF			regulator of KefC-mediated potassium transport and quinone oxidoreductase
ANC_00983	CDS	1863	kefC			K+ : H+ antiporter KefC
ANC_00984	CDS	591	folA	1.5.1.3		dihydrofolate reductase
ANC_00985	CDS	843	apaH	3.6.1.41		diadenosine tetraphosphatase
ANC_00986	CDS	378	apaG			hypothetical protein
ANC_00987	CDS	822	rsmA	2.1.1.182		16S rRNA,m62A1519 dimethyltransferase
ANC_00988	CDS	990	pdxA	1.1.1.262		4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
ANC_00989	CDS	1287	surA	5.2.1.8		peptidyl-prolyl cis-trans isomerase (PPIase)
ANC_00990	CDS	2355	lptD			outer membrane lipopolysaccharide transport and assembly complex - LptD subunit
ANC_00991	CDS	816	djlA			chaperone with DnaK
ANC_00992	CDS	660	rluA			23S rRNA and tRNA pseudouridine synthase
ANC_00993	CDS	2907	hepA			RNA Polymerase (RNAP)-binding ATPase and RNAP recycling factor
ANC_00994	CDS	2352	polB	2.7.7.7		DNA polymerase II
ANC_00995	CDS	696	araD	5.1.3.4		L-ribulose 5-phosphate 4-epimerase monomer
ANC_00996	CDS	1503	araA	5.3.1.4		L-arabinose isomerase monomer
ANC_00997	CDS	1701	araB_1	2.7.1.16		L-ribulokinase monomer
ANC_00998	CDS	879	araC			AraC-Arabinose DNA-binding transcriptional activator
ANC_00999	CDS	765				hypothetical protein
ANC_01000	CDS	699	thiQ			thiamin ABC transporter - ATP binding subunit
ANC_01001	CDS	1611	thiP			thiamin ABC transporter - membrane subunit
ANC_01002	CDS	984	tbpA			thiamin ABC transporter - periplasmic binding protein
ANC_01003	CDS	1656	sgrR			SgrR DNA-binding transcriptional dual regulator
ANC_01004	CDS	132	sgrT			SgrT, regulator of PtsG activity
ANC_01005	CDS	1179	setA			sugar / lactose efflux transporter SetA
ANC_01006	CDS	606	leuD	4.2.1.33		isopropylmalate isomerase
ANC_01007	CDS	1401	leuC	4.2.1.33		isopropylmalate isomerase
ANC_01008	CDS	1092	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
ANC_01009	CDS	1572	leuA	2.3.3.13		2-isopropylmalate synthase
ANC_01010	CDS	777	sseB			overproduction causes enhanced serine sensitivity
ANC_01011	CDS	1284	pepB			aminopeptidase B
ANC_01012	CDS	201	iscX			protein with possible role in iron-sulfur cluster biogenesis
ANC_01013	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
ANC_01014	CDS	1851	hscA			chaperone, member of Hsp70 protein family
ANC_01015	CDS	516	hscB			Hsc20 co-chaperone that acts with Hsc66 in IscU iron-sulfur cluster assembly
ANC_01016	CDS	324	iscA			iron-sulfur cluster assembly protein
ANC_01017	CDS	387	iscU			scaffold protein for iron-sulfur cluster assembly
ANC_01018	CDS	1215	iscS	2.8.1.7		cysteine desulfurase monomer
ANC_01019	CDS	489	iscR			IscR DNA-binding transcriptional dual regulator
ANC_01020	CDS	741	trmJ			tRNA Cm32/Um32 methyltransferase
ANC_01021	CDS	804	suhB	3.1.3.25		inositol monophosphatase
ANC_01022	CDS	855	yfhR			putative peptidase
ANC_01023	CDS	1281	csiE			stationary phase inducible protein
ANC_01024	CDS	1140	hcaT			HcaT MFS transporter
ANC_01025	CDS	891	hcaR			HcaR transcriptional dual regulator
ANC_01026	CDS	1362	hcaE	1.14.12.19		3-phenylpropionate dioxygenase, alpha subunit
ANC_01027	CDS	519	hcaF	1.14.12.19		3-phenylpropionate dioxygenase, beta subunit
ANC_01028	CDS	321	hcaC			3-phenylpropionate dioxygenase, predicted ferredoxin subunit
ANC_01029	CDS	813	hcaB			2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase
ANC_01030	CDS	1203	hcaD	1.18.1.3		3-phenylpropionate dioxygenase, predicted ferredoxin reductase subunit
ANC_01031	CDS	423	yphA			putative inner membrane protein
ANC_01032	CDS	873				hypothetical protein
ANC_01033	CDS	1062	yphC			putative oxidoreductase, Zn-dependent and NAD(P)-binding
ANC_01034	CDS	999	yphD			YphD/YphE/YphF ABC transporter
ANC_01035	CDS	1512	yphE			YphD/YphE/YphF ABC transporter
ANC_01036	CDS	984	yphF			YphD/YphE/YphF ABC transporter
ANC_01037	CDS	3282				hypothetical protein
ANC_01038	CDS	1194	yphH			putative DNA-binding transcriptional regulator, NAGC-like
ANC_01039	CDS	1254	glyA	2.1.2.1		serine hydroxymethyltransferase
ANC_01040	CDS	1191	hmp	1.14.12.17		nitric oxide dioxygenase
ANC_01041	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
ANC_01042	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
ANC_01043	CDS	714				hypothetical protein
ANC_01044	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
ANC_01045	CDS	2793	purL	6.3.5.3		phosphoribosylformylglycinamide synthetase
ANC_01046	CDS	1515	norR			NorR DNA-binding transcriptional dual regulator
ANC_01047	CDS	1440	norV			flavorubredoxin
ANC_01048	CDS	1134	norW			flavorubredoxin reductase
ANC_01049	CDS	2253	hypF			hydrogenase maturation protein, carbamoyltransferase
ANC_01050	CDS	528	hydN			putative electron transport protein HydN
ANC_01051	CDS	1014	ascG			AscG DNA-binding transcriptional repressor
ANC_01052	CDS	1458	ascF	2.7.1.69		beta-glucoside PTS permease AscF - cryptic
ANC_01053	CDS	1425	ascB	3.2.1.86		6-phospho-beta-glucosidase; cryptic
ANC_01054	CDS	471	hycI			hydrogenase 3 maturation protease
ANC_01055	CDS	411	hycH			protein required for maturation of hydrogenase 3
ANC_01056	CDS	768	hycG			hydrogenase 3 and formate hydrogenlyase complex, HycG subunit
ANC_01057	CDS	543	hycF			formate hydrogenlyase complex iron-sulfur protein
ANC_01058	CDS	1710	hycE			hydrogenase 3, large subunit
ANC_01059	CDS	924	hycD			hydrogenase 3, membrane subunit
ANC_01060	CDS	1827	hycC			hydrogenase 3, membrane subunit
ANC_01061	CDS	612	hycB			hydrogenase 3, Fe-S subunit
ANC_01062	CDS	462	hycA			regulator of the transcriptional regulator FhlA
ANC_01063	CDS	351	hypA			accessory protein for nickel incorporation into hydrogenase 3
ANC_01064	CDS	873	hypB			accessory protein for nickel incorporation into hydrogenase isoenzymes
ANC_01065	CDS	273	hypC			protein involved in hydrogenase 3 maturation
ANC_01066	CDS	1122	hypD			protein involved in maturation of hydrogenase isoenzymes
ANC_01067	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
ANC_01068	CDS	2079	fhlA			FhlA transcriptional activator
ANC_01069	CDS	354	ygbA			putative protein
ANC_01070	CDS	135				hypothetical protein
ANC_01071	CDS	2562	mutS			MutHLS complex, methyl-directed mismatch repair
ANC_01072	CDS	657	pphB	3.1.3.16		protein-tyrosine-phosphatase / phosphoprotein phosphatase
ANC_01073	CDS	768	ygbI			putative DNA-binding transcriptional regulator, DEOR-type
ANC_01074	CDS	909	ygbJ			putative dehydrogenase, with NAD(P)-binding Rossmann-fold domain
ANC_01075	CDS	1263				hypothetical protein
ANC_01076	CDS	639	ygbL			putative class II aldolase
ANC_01077	CDS	777				hypothetical protein
ANC_01078	CDS	1365	ygbN			YgbN Gnt transporter
ANC_01079	CDS	993	rpoS			RNA polymerase, sigma S (sigma 38) factor
ANC_01080	CDS	1140	nlpD			NlpD putative outer membrane lipoprotein
ANC_01081	CDS	627	pcm	2.1.1.77		L-isoaspartate protein carboxylmethyltransferase type II
ANC_01082	CDS	762	surE	3.1.3.6		broad specificity 5'(3')-nucleotidase and polyphosphatase
ANC_01083	CDS	291	truD			tRNA pseudouridine 13 synthase
ANC_01084	CDS	2280	maeB	1.1.1.40		malate dehydrogenase
ANC_01085	CDS	951	talA	2.2.1.2		transaldolase A
ANC_01086	CDS	2004	tktB	2.2.1.1		transketolase II
ANC_01087	CDS	1044	ypfG			putative protein
ANC_01088	CDS	576	nudK			GDP-mannose hydrolase
ANC_01089	CDS	1980	aegA			putative oxidoreductase, Fe-S subunit
ANC_01090	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
ANC_01091	CDS	3114	acrD			AcrAD-TolC multidrug efflux transport system - permease subunit
ANC_01092	CDS	357				hypothetical protein
ANC_01093	CDS	1128	dapE	3.5.1.18		N-succinyl-L-diaminopimelate desuccinylase subunit
ANC_01094	CDS	201	ypfN			putative protein
ANC_01095	CDS	699	ypfH			esterase
ANC_01096	CDS	2016	tmcA			tRNAMet cytidine acetyltransferase
ANC_01097	CDS	864				hypothetical protein
ANC_01098	CDS	714	purC	6.3.2.6		phosphoribosylaminoimidazole-succinocarboxamide synthase
ANC_01099	CDS	231				hypothetical protein
ANC_01100	CDS	1035	bamC			Outer Membrane Protein Assembly Complex - BamC subunit
ANC_01101	CDS	879	dapA	4.2.1.52		4-hydroxy-tetrahydrodipicolinate synthase
ANC_01102	CDS	573	gcvR			GcvR predicted transcriptional regulator
ANC_01103	CDS	471	bcp			thiol peroxidase
ANC_01104	CDS	618	hyfA			hydrogenase 4, component A
ANC_01105	CDS	2019	hyfB			hydrogenase 4, component B
ANC_01106	CDS	720	hyfC			hydrogenase 4, component C
ANC_01107	CDS	111	hyfD_1			hydrogenase 4, component D
ANC_01108	CDS	897	hyfD_2			hydrogenase 4, component D
ANC_01109	CDS	507	hyfD_3			hydrogenase 4, component D
ANC_01110	CDS	651	hyfE			hydrogenase 4, component E
ANC_01111	CDS	804	hyfF_1			hydrogenase 4, component F
ANC_01112	CDS	780	hyfF_2			hydrogenase 4, component F
ANC_01113	CDS	1668	hyfG			hydrogenase 4, large subunit
